City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
54,Katsuura,JP,2021-11-01 00:55:39,35.1333,140.3,68.18,83,100,6.42,overcast clouds,0,0
55,Cape Town,ZA,2021-11-01 00:58:44,-33.9258,18.4232,64.09,73,40,1.01,light rain,0,0
56,Chunhuhub,MX,2021-11-01 00:58:45,19.55,-88.6833,70.39,64,7,2.59,clear sky,0,0
57,Namibe,AO,2021-11-01 00:58:45,-15.1961,12.1522,64.06,78,17,7.87,few clouds,0,0
58,Narsaq,GL,2021-11-01 00:58:45,60.9167,-46.05,25.79,65,27,7.31,scattered clouds,0,0
59,Olafsvik,IS,2021-11-01 00:58:46,64.8945,-23.7142,34.86,71,22,17.31,few clouds,0,0
60,Hualmay,PE,2021-11-01 00:58:46,-11.0964,-77.6139,64.36,82,8,7.52,clear sky,0,0
61,Bosobolo,CD,2021-11-01 00:58:46,4.1833,19.9,70.83,96,100,0.87,light rain,0,0
62,Kaele,CM,2021-11-01 00:58:47,10.1092,14.4508,80.4,35,72,2.15,broken clouds,0,0
63,Bako,ET,2021-11-01 00:58:47,5.7833,36.5667,63.73,53,100,5.37,overcast clouds,0,0
64,East London,ZA,2021-11-01 00:55:54,-33.0153,27.9116,64.98,83,100,13.78,overcast clouds,0,0
65,Lebanon,US,2021-11-01 00:56:18,36.2081,-86.2911,58.44,73,1,0.0,clear sky,0,0
66,Lumeje,AO,2021-11-01 00:58:48,-11.55,20.7833,65.46,93,100,3.96,overcast clouds,0,0
67,Naze,JP,2021-11-01 00:58:48,28.3667,129.4833,67.12,75,17,15.41,few clouds,0,0
68,Gonen,TR,2021-11-01 00:58:48,40.1049,27.654,60.03,52,100,0.98,light rain,0,0
69,Jian,CN,2021-11-01 00:58:49,27.1172,114.9793,60.76,91,100,7.4,light rain,0,0
70,Chokurdakh,RU,2021-11-01 00:58:49,70.6333,147.9167,-10.77,100,87,6.6,overcast clouds,0,0
